                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.7707,                 1.2375,                0.90096,                0.80728,                0.29118,                0.35503,                 0.1444,                 1.9964,                 1.5249,                0.99781,             0.00088292,             0.00088292,             0.00088292
                     57,                 1.8245,                 1.4021,                 1.0017,                0.53346,                0.41326,                0.37521,                0.14619,                 2.0724,                 1.5806,                 1.0095,             0.00087103,             0.00087103,             0.00087103
                     58,                 1.7028,                 1.1146,                0.90809,                0.58705,                0.42533,                  0.423,                0.15796,                 2.1261,                 1.5061,                 1.0375,             0.00085903,             0.00085903,             0.00085903
                     59,                 1.6186,                 1.1283,                0.89335,                0.64112,                0.37222,                0.38655,                0.13675,                 2.1808,                 1.6381,                 1.0485,             0.00084693,             0.00084693,             0.00084693
                     60,                 1.6485,                 1.1653,                0.88081,                0.78018,                0.28635,                0.34965,                 0.1273,                 2.0546,                 1.5738,                 1.0134,             0.00083474,             0.00083474,             0.00083474
                     61,                 1.6888,                 1.0861,                0.88807,                0.78043,                 0.2837,                0.34269,                0.12409,                 2.0459,                 1.5885,                 1.0202,             0.00082245,             0.00082245,             0.00082245
                     62,                 1.6281,                 1.0509,                0.87859,                0.75207,                0.27529,                0.31992,                0.09992,                 2.1545,                 1.7529,                 1.0416,             0.00081009,             0.00081009,             0.00081009
                     63,                 1.6336,                 1.1106,                0.90141,                0.79024,                0.27919,                0.34481,                 0.1273,                 2.0581,                 1.6651,                 1.0306,             0.00079764,             0.00079764,             0.00079764
                     64,                 1.6102,                 1.2276,                0.91144,                0.76438,                0.28797,                0.34874,                 0.1404,                 2.0901,                 1.5979,                 1.0331,             0.00078513,             0.00078513,             0.00078513
                     65,                 1.7029,                 1.1282,                 0.8936,                0.77486,                0.29177,                0.35636,                0.14095,                 2.0812,                 1.5835,                 1.0266,             0.00077254,             0.00077254,             0.00077254
                     66,                 1.4141,                 1.0175,                 0.8964,                0.56521,                0.38538,                0.37174,                0.13187,                  2.093,                 1.6464,                 1.0452,              0.0007599,              0.0007599,              0.0007599
                     67,                 1.6335,                 1.2604,                 0.9219,                0.61833,                0.40222,                0.41696,                0.15792,                  2.044,                 1.5223,                 1.0377,             0.00074719,             0.00074719,             0.00074719
                     68,                 1.1513,                0.89271,                0.66642,                0.85983,                0.27367,                0.43229,                 0.1769,                 1.9933,                 1.4732,                 1.0217,             0.00073444,             0.00073444,             0.00073444
                     69,                  1.585,                 1.0083,                0.89484,                0.83057,                0.27783,                0.41295,                0.15307,                 2.0905,                 1.6157,                 1.0503,             0.00072164,             0.00072164,             0.00072164
                     70,                 1.6823,                 1.0698,                0.90794,                0.81127,                0.30161,                0.40517,                0.15148,                 2.0664,                 1.6793,                 1.0323,              0.0007088,              0.0007088,              0.0007088
