                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.5647,                 1.0513,                0.91369,                 0.2894,                0.10124,                 0.0272,                0.00797,                 2.7799,                 3.2758,                 1.1804,             0.00045326,             0.00045326,             0.00045326
                     82,                 1.6835,                 1.1425,                0.92304,                0.29996,                0.08329,                0.03123,                0.00938,                   2.74,                 3.1697,                 1.1783,             0.00044296,             0.00044296,             0.00044296
                     83,                 1.6296,                 1.0628,                0.92379,                0.55856,                0.09335,                0.03726,                0.01087,                 2.6907,                 3.1179,                 1.1724,             0.00043269,             0.00043269,             0.00043269
                     84,                  1.563,                0.97376,                0.89005,                0.56384,                0.09072,                0.03932,                0.01222,                 2.6806,                 3.0855,                 1.1641,             0.00042245,             0.00042245,             0.00042245
                     85,                 1.5583,                 1.0113,                0.88466,                0.56219,                0.09335,                0.03932,                0.01193,                  2.669,                 3.1005,                 1.1572,             0.00041225,             0.00041225,             0.00041225
                     86,                 1.5429,                 1.0596,                0.90274,                0.56154,                0.07892,                0.03584,                0.01156,                 2.6592,                 3.1431,                 1.1568,             0.00040208,             0.00040208,             0.00040208
                     87,                 1.5799,                 1.0181,                0.90537,                0.56095,                0.09366,                0.03416,                 0.0111,                 2.6662,                 3.1648,                 1.1577,             0.00039197,             0.00039197,             0.00039197
                     88,                 1.5519,                 1.0204,                0.89884,                0.55683,                0.09135,                0.03098,                0.01041,                  2.667,                 3.1671,                 1.1663,              0.0003819,              0.0003819,              0.0003819
                     89,                 1.5328,                 1.0436,                0.90615,                0.55453,                 0.0864,                0.02984,                0.00998,                 2.6818,                  3.163,                 1.1733,             0.00037188,             0.00037188,             0.00037188
                     90,                 1.6085,                 1.0856,                0.91489,                0.54829,                0.08377,                0.02826,                0.00958,                 2.6944,                 3.1682,                  1.181,             0.00036193,             0.00036193,             0.00036193
                     91,                 1.6242,                 1.1218,                0.93901,                0.54984,                0.09072,                0.02838,                0.00938,                 2.7061,                 3.2235,                 1.1847,             0.00035204,             0.00035204,             0.00035204
                     92,                 1.5131,                  1.065,                0.91923,                0.54647,                0.08346,                0.02764,                0.00914,                 2.7193,                 3.2663,                 1.1816,             0.00034221,             0.00034221,             0.00034221
                     93,                 1.5535,                 1.0431,                0.92503,                0.54558,                 0.0884,                0.02569,                0.00887,                  2.714,                 3.2693,                 1.1782,             0.00033246,             0.00033246,             0.00033246
                     94,                 1.5832,                 1.0105,                0.90095,                0.54609,                0.09303,                0.02652,                0.00865,                 2.7111,                 3.2335,                 1.1719,             0.00032278,             0.00032278,             0.00032278
                     95,                 1.5422,                 1.0332,                 0.9124,                0.53747,                0.10029,                0.02764,                 0.0085,                 2.7223,                 3.1947,                 1.1658,             0.00031318,             0.00031318,             0.00031318
                     96,                 1.5832,                 1.0302,                 0.9059,                0.53698,                0.10029,                 0.0275,                0.00841,                   2.74,                 3.1682,                 1.1658,             0.00030367,             0.00030367,             0.00030367
                     97,                 1.5523,                 1.1083,                0.89773,                0.53642,                0.10324,                0.02713,                0.00825,                 2.7615,                 3.1782,                 1.1694,             0.00029424,             0.00029424,             0.00029424
                     98,                 1.5248,                0.99003,                0.89006,                0.54286,                0.10524,                0.02794,                0.00861,                 2.7927,                 3.2139,                 1.1743,             0.00028491,             0.00028491,             0.00028491
