                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.8909,                 1.4216,                0.96215,                0.49472,                0.31778,                0.19657,                 0.0691,                 2.1355,                 2.1073,                 1.0485,             0.00069682,             0.00069682,             0.00069682
                     58,                 1.9091,                 1.4154,                  0.943,                0.48891,                0.29745,                0.19608,                0.06648,                 2.1486,                 2.0374,                 1.0449,             0.00068722,             0.00068722,             0.00068722
                     59,                 1.7975,                 1.3133,                0.95604,                0.46821,                0.31088,                0.21273,                0.07512,                 2.1231,                 2.0068,                 1.0552,             0.00067754,             0.00067754,             0.00067754
                     60,                 1.8012,                 1.3339,                  0.935,                0.52471,                0.36643,                0.27352,                0.09588,                 2.0768,                 1.7597,                 1.0478,             0.00066779,             0.00066779,             0.00066779
                     61,                 1.8245,                 1.3281,                0.95286,                0.57612,                0.33003,                0.29036,                0.10173,                 2.0918,                 1.6555,                 1.0431,             0.00065796,             0.00065796,             0.00065796
                     62,                 1.9618,                 1.3817,                0.95818,                0.49779,                0.38771,                0.28059,                 0.0995,                 2.0754,                 1.7705,                 1.0421,             0.00064807,             0.00064807,             0.00064807
                     63,                 1.7674,                 1.2343,                0.91908,                0.56714,                0.34582,                0.28055,                  0.105,                 2.0634,                 1.7573,                 1.0394,             0.00063812,             0.00063812,             0.00063812
                     64,                 1.8319,                 1.3157,                0.93162,                0.70962,                 0.3436,                0.31455,                0.12024,                  2.072,                  1.661,                 1.0286,              0.0006281,              0.0006281,              0.0006281
                     65,                 1.7702,                 1.2078,                0.92377,                0.60576,                0.33961,                0.29976,                0.11131,                 2.1215,                 1.6807,                 1.0299,             0.00061803,             0.00061803,             0.00061803
                     66,                 1.7847,                 1.1896,                0.93358,                 0.5504,                 0.3837,                 0.3088,                0.10552,                 2.1995,                 1.7409,                 1.0545,             0.00060792,             0.00060792,             0.00060792
                     67,                 1.8062,                 1.2174,                0.95883,                0.56038,                0.39553,                0.30992,                0.11822,                 2.1316,                 1.5981,                 1.0465,             0.00059775,             0.00059775,             0.00059775
                     68,                   1.88,                 1.2524,                0.92392,                0.60051,                0.30394,                0.32325,                0.11994,                 2.1547,                 1.5833,                 1.0356,             0.00058755,             0.00058755,             0.00058755
                     69,                 1.7869,                 1.2569,                 0.9319,                0.50521,                0.35866,                0.29955,                0.10961,                 2.2119,                 1.7063,                 1.0379,             0.00057731,             0.00057731,             0.00057731
                     70,                 1.9561,                 1.3558,                0.94308,                0.57513,                  0.299,                0.28968,                0.10816,                 2.2169,                 1.7644,                 1.0366,             0.00056704,             0.00056704,             0.00056704
                     71,                 1.8636,                 1.2581,                0.94137,                0.48483,                0.38939,                0.30812,                 0.1216,                 2.1627,                 1.6947,                 1.0366,             0.00055674,             0.00055674,             0.00055674
                     72,                 1.8886,                 1.2231,                0.92786,                0.49527,                  0.397,                0.31117,                0.13413,                 2.1475,                 1.5826,                  1.047,             0.00054642,             0.00054642,             0.00054642
                     73,                 1.8155,                  1.196,                0.94824,                0.54504,                0.40305,                0.33525,                0.14486,                 2.1494,                 1.5583,                 1.0446,             0.00053608,             0.00053608,             0.00053608
                     74,                 1.7646,                 1.1981,                0.92734,                0.54469,                0.41076,                0.33324,                0.13893,                 2.1361,                 1.6271,                 1.0317,             0.00052573,             0.00052573,             0.00052573
                     75,                 1.7653,                 1.2364,                0.95556,                 0.5622,                0.37614,                0.32715,                 0.1363,                 2.1223,                  1.601,                 1.0264,             0.00051537,             0.00051537,             0.00051537
                     76,                 1.6968,                 1.1759,                0.97547,                0.58132,                0.31856,                0.32433,                0.12948,                 2.1281,                 1.5796,                  1.028,               0.000505,               0.000505,               0.000505
                     77,                 1.7761,                 1.2603,                0.90375,                0.67392,                0.27393,                0.30012,                0.11417,                 2.1699,                  1.609,                 1.0435,             0.00049463,             0.00049463,             0.00049463
                     78,                 1.7696,                 1.3025,                0.94158,                0.64537,                0.27601,                 0.3011,                0.11263,                 2.2163,                 1.6465,                 1.0688,             0.00048427,             0.00048427,             0.00048427
                     79,                 1.6584,                 1.1648,                0.92183,                0.26046,                0.41074,                0.31787,                0.12184,                 2.1898,                 1.6247,                 1.0648,             0.00047392,             0.00047392,             0.00047392
                     80,                  1.639,                 1.1399,                0.93091,                0.53235,                0.35792,                0.33913,                0.13657,                 2.1327,                 1.6205,                 1.0475,             0.00046358,             0.00046358,             0.00046358
                     81,                 1.6831,                 1.1775,                0.92214,                0.55917,                0.35054,                0.35206,                0.14231,                 2.1172,                 1.5976,                 1.0336,             0.00045326,             0.00045326,             0.00045326
                     82,                 1.6828,                 1.1045,                0.92133,                0.58038,                0.33857,                 0.3514,                0.13845,                 2.1199,                 1.6099,                 1.0359,             0.00044296,             0.00044296,             0.00044296
                     83,                 1.6677,                 1.1467,                 0.8906,                0.54041,                0.40658,                0.32835,                0.12381,                 2.1938,                  1.657,                 1.0539,             0.00043269,             0.00043269,             0.00043269
                     84,                 1.7153,                 1.1131,                0.93993,                0.51575,                0.38469,                0.32179,                0.12586,                 2.1602,                 1.6584,                 1.0435,             0.00042245,             0.00042245,             0.00042245
                     85,                 1.7495,                 1.1458,                0.92035,                0.50925,                0.37265,                0.32528,                0.13235,                 2.0909,                 1.6817,                 1.0261,             0.00041225,             0.00041225,             0.00041225
                     86,                 1.7218,                 1.2039,                0.93833,                0.56511,                0.26784,                0.29673,                0.11878,                 2.1012,                 1.7142,                 1.0243,             0.00040208,             0.00040208,             0.00040208
                     87,                 1.6731,                 1.1296,                0.90029,                0.56451,                0.28127,                0.28419,                0.10883,                 2.0989,                 1.6817,                 1.0283,             0.00039197,             0.00039197,             0.00039197
                     88,                 1.6388,                 1.0889,                0.93141,                 0.5483,                0.27668,                0.28157,                0.10401,                 2.1328,                  1.622,                 1.0337,              0.0003819,              0.0003819,              0.0003819
                     89,                 1.6951,                 1.0824,                0.88935,                0.52009,                0.33443,                 0.2912,                0.10222,                 2.1723,                 1.6323,                 1.0431,             0.00037188,             0.00037188,             0.00037188
                     90,                 1.6098,                 1.0686,                0.88833,                0.51875,                 0.3354,                 0.2925,                0.10772,                 2.1847,                 1.6149,                 1.0525,             0.00036193,             0.00036193,             0.00036193
                     91,                 1.6252,                 1.1784,                0.94179,                0.53476,                0.36106,                0.31825,                0.11905,                 2.1596,                 1.5533,                 1.0487,             0.00035204,             0.00035204,             0.00035204
                     92,                 1.6774,                 1.1793,                0.93895,                0.54734,                0.40304,                 0.3467,                 0.1323,                 2.0999,                 1.5193,                 1.0322,             0.00034221,             0.00034221,             0.00034221
                     93,                 1.6858,                 1.1534,                0.92605,                0.54183,                0.43483,                0.35241,                0.13506,                 2.0877,                  1.527,                 1.0236,             0.00033246,             0.00033246,             0.00033246
                     94,                  1.588,                 1.0914,                0.88372,                0.53824,                0.42274,                0.33312,                0.12513,                 2.1204,                 1.5564,                 1.0279,             0.00032278,             0.00032278,             0.00032278
                     95,                 1.5865,                 1.1036,                0.91546,                0.53818,                0.41376,                0.33059,                0.12483,                  2.124,                 1.6037,                  1.029,             0.00031318,             0.00031318,             0.00031318
                     96,                 1.6189,                 1.1119,                0.92516,                0.52218,                0.40559,                0.34109,                0.13226,                 2.0924,                 1.5945,                 1.0222,             0.00030367,             0.00030367,             0.00030367
