                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  1.566,                 1.1669,                0.95873,                0.79051,                0.30804,                0.32865,                0.12689,                 2.0183,                 1.5501,                 1.0096,             0.00044296,             0.00044296,             0.00044296
                     83,                  1.126,                0.95471,                0.66334,                0.78664,                0.29743,                0.32779,                0.12907,                 2.0347,                 1.5485,                 1.0041,             0.00043269,             0.00043269,             0.00043269
                     84,                 1.6476,                0.99287,                0.88669,                0.79459,                0.31155,                0.33977,                0.13907,                 2.0061,                 1.5202,                0.99674,             0.00042245,             0.00042245,             0.00042245
                     85,                 1.4912,                 1.0633,                0.90587,                 0.8014,                0.31762,                0.35583,                0.13903,                 1.9919,                 1.5126,                0.99715,             0.00041225,             0.00041225,             0.00041225
                     86,                 1.6167,                 1.0478,                0.93342,                0.57738,                0.38549,                0.34165,                0.13565,                 2.0063,                 1.5174,                 1.0066,             0.00040208,             0.00040208,             0.00040208
                     87,                 1.1411,                0.80276,                0.67077,                0.59389,                 0.3869,                0.32889,                0.12074,                 2.0415,                 1.5256,                 1.0151,             0.00039197,             0.00039197,             0.00039197
                     88,                 1.5731,                  1.028,                0.88232,                0.60099,                0.36455,                 0.3247,                 0.1223,                 2.0426,                 1.5314,                 1.0138,              0.0003819,              0.0003819,              0.0003819
                     89,                 1.4572,                0.94219,                0.87111,                0.63368,                0.35002,                0.33729,                0.13291,                  2.022,                 1.5086,                 1.0107,             0.00037188,             0.00037188,             0.00037188
                     90,                 1.4841,                 1.0399,                0.88677,                0.63591,                0.36802,                0.36689,                0.14238,                 2.0351,                 1.4678,                 1.0119,             0.00036193,             0.00036193,             0.00036193
                     91,                 1.5537,                0.96679,                0.85876,                0.71042,                0.34663,                0.37795,                0.14325,                  2.049,                 1.4871,                  1.014,             0.00035204,             0.00035204,             0.00035204
                     92,                  1.849,                  1.228,                0.91382,                 0.7023,                0.34432,                0.38444,                0.14373,                 2.0681,                 1.4976,                 1.0178,             0.00034221,             0.00034221,             0.00034221
                     93,                 1.4859,                 1.0157,                0.92004,                0.57335,                0.38538,                0.34338,                0.13539,                 2.1111,                 1.4858,                 1.0246,             0.00033246,             0.00033246,             0.00033246
